ID;sens_type;Meriston;F2;F3;F4;F5;F6;F7;F8;F9;F10;F11;F12;F13;F14;F15
MD1;TR;16;24;40;67;91;120;117;138;131;135;131;129;139;136;124
MD2;TR;17;29;41;64;90;109;118;126;134;141;140;139;135;125;102
MD3;TR;56;39;56;75;110;118;113;122;134;133;143;123;127;119;103
MV1;TR;57;45;53;60;81;94;119;123;138;133;124;122;119;124;111
MV2;TR;47;34;41;75;83;110;121;137;129;138;132;127;138;118;126
MV3;TR;9;24;36;66;85;93;108;102;123;127;107;111;126;134;130
MD1;CH;36;24;27;31;49;54;56;56;49;50;60;49;43;37;36
MD2;CH;26;18;19;31;38;48;54;48;39;47;40;36;35;29;26
MD3;CH;28;27;35;42;49;47;52;52;43;44;39;41;40;37;29
MV1;CH;22;28;48;62;64;70;64;64;62;57;53;44;45;42;35
MV2;CH;21;30;37;42;50;73;69;65;56;56;48;56;45;37;35
MV3;CH;45;28;37;54;58;59;58;53;55;50;42;43;39;39;32
MD1;BS;21;15;33;36;44;59;74;94;104;128;124;130;157;122;110
MD2;BS;27;31;50;48;55;58;72;82;97;112;101;126;125;107;89
MD3;BS;29;17;28;41;59;69;73;96;91;93;87;123;129;104;118
MV1;BS;51;51;69;65;85;77;88;110;112;110;132;116;127;131;116
MV2;BS;28;44;52;53;70;87;102;105;112;131;127;134;141;124;101
MV3;BS;58;48;78;76;84;80;88;80;105;118;108;109;132;144;129
MD1;TOTAL;73;63;100;134;184;233;247;288;284;313;315;308;339;295;270
MD2;TOTAL;70;78;110;143;183;215;244;256;270;300;281;301;295;261;217
MD3;TOTAL;113;83;119;158;218;234;238;270;268;270;269;287;296;260;250
MV1;TOTAL;130;124;170;187;230;241;271;297;312;300;309;282;291;297;262
MV2;TOTAL;96;108;130;170;203;270;292;307;297;325;307;317;324;279;262
MV3;TOTAL;112;100;151;196;227;232;254;235;283;295;257;263;297;317;291
HV1;TOTAL;100;98;133;164;192;210;245;268;284;266;292;284;284;265;242
HV2;TOTAL;77;77;102;122;143;178;211;207;234;269;261;269;288;282;246
HV3;TOTAL;99;101;131;161;188;218;248;262;293;312;303;289;262;296;346
HD1;TOTAL;88;87;111;147;199;198;232;249;259;247;268;312;261;257;208
HD2;TOTAL;73;61;77;109;154;201;207;198;239;219;221;246;279;237;220
HD3;TOTAL;113;122;143;184;198;232;232;277;278;324;291;305;325;297;320
HV1;CH;43;20;27;35;37;39;44;44;41;39;41;43;37;35;35
HV2;CH;37;19;24;28;30;36;43;37;36;39;39;39;39;38;29
HV3;CH;19;18;32;35;46;51;44;58;56;48;52;47;39;42;40
HD1;CH;17;27;23;35;49;44;46;44;47;38;42;44;31;34;30
HD2;CH;29;16;19;26;35;41;41;39;36;34;36;34;38;29;24
HD3;CH;39;22;30;33;41;45;50;49;44;51;46;45;45;37;34
HV1;TR;10;27;50;68;81;91;98;125;127;115;124;112;111;121;111
HV2;TR;21;32;42;61;68;81;100;100;110;120;98;99;117;130;124
HV3;TR;39;33;47;61;78;92;113;108;122;136;129;125;138;125;163
HD1;TR;50;36;53;74;95;96;123;118;121;101;111;137;116;103;94
HD2;TR;28;26;39;55;84;115;103;99;121;106;113;118;131;116;115
HD3;TR;26;40;48;76;81;104;101;118;126;133;124;132;134;125;116
HV1;BS;47;51;56;61;74;80;103;99;116;112;127;129;136;109;96
HV2;BS;19;26;36;33;45;61;68;70;88;110;124;131;132;114;93
HV3;BS;41;50;52;65;64;75;91;96;115;128;122;117;85;129;143
HD1;BS;21;24;35;38;55;58;63;87;91;108;115;131;114;120;84
HD2;BS;16;19;19;28;35;45;63;60;82;79;72;94;110;92;81
HD3;BS;48;60;65;75;76;83;81;110;108;140;121;128;146;135;170
